Richard Dixon,department, 
Peter Dixon,department, ,interests,['trial']
Dwayne Donald,department, ,interests,"['genealogical', 'link', 'significance', 'excavation', 'territory', 'enacted', 'site', 'affiliations', 'sovereignty']"
Sara Dorow,department, ,interests,"['directed', 'oilsands', 'childhood', 'fort', 'kinship', 'oil', 'overlapping']"
Joseph Doucet,department, ,interests,['journals']
Ying Duan,department, 
Ryan Dunch,department, ,interests,"['annotated', 'periodicals', 'phase', 'searchable', 'draft', 'missionary']"
John Dunn,department, 
William Dunn,department, ,interests,"['inclusion', 'competence', 'brunswick', 'gain', 'metropolis', 'elementary']"
Alison Dunwoody,department, 
Tom Dust,department, ,interests,"['contributor', 'trumpet', 'guild', 'celebrity', 'doctor', 'jazz', 'bloomington', 'festival', 'concert', 'dust', 'morocco', 'orchestra', 'description']"
Andrew Eckert,department, ,interests,['gasoline']
Heather Eckert,department, 
Andrew Ede,department, ,interests,"['cold', 'defense', 'chemistry']"
Sadok El Ghoul,department, 
Samira ElAtia,department, ,interests,"['facteurs', 'legislation', 'langue']"
Julia L. Ellis,department, ,interests,"['mentorship', 'peer', 'creativity']"
Maureen Engel,department, ,interests,"['river', 'partnership']"
Gerhard Ens,department, ,interests,['fur']
Garrett Epp,department, 
Roger Epp,department, ,interests,"['hermeneutics', 'agrarian']"
Claudia Eppert,department, ,interests,"['compassion', 'reconciliation', 'remembrance', 'mindfulness']"
Adam Esplin,department, 
Laurier Fagnan,department, ,interests,['technique']
Yasser Fahmy,department, ,interests,"['monetary', 'macroeconomics', 'augustana']"
Janet Fast,department, ,interests,['workplace']
Rasmus Fatum,department, ,interests,"['foreign', 'reaction', 'bank', 'transactions']"
Dorothee Feils,department, 
Alexandra Fidyk,department, ,interests,"['artsinformed', 'transdisciplinary']"
Richard Field,department, 
Robert J. Fisher,department, 
Julian Forrest,department, 
Gregory Forth,department, ,interests,"['eastern', 'abduction', 'classification', 'folk']"
Francois Bastien,department, 
William Foster,department, ,interests,"['archivists', 'observation']"
